5808: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 1, identificador: 65
5812: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 2, identificador: 65
5819: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 3, identificador: 65
5824: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 4, identificador: 65
5835: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 5, identificador: 65
5838: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 6, identificador: 65
5849: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 7, identificador: 65
5855: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 8, identificador: 65
5860: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 9, identificador: 65
5870: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 10, identificador: 65
5875: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 11, identificador: 65
5884: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 12, identificador: 65
5893: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 13, identificador: 65
5909: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 14, identificador: 65
5913: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 15, identificador: 65
5922: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 16, identificador: 65
5927: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 17, identificador: 65
5935: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 18, identificador: 65
5940: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 19, identificador: 65
5944: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 20, identificador: 65
5955: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 21, identificador: 65
5956: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 22, identificador: 65
5966: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 23, identificador: 65
5977: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 24, identificador: 65
5977: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 25, identificador: 65
5988: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 26, identificador: 65
5999: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 27, identificador: 65
5999: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 28, identificador: 65
6010: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 29, identificador: 65
6010: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 30, identificador: 65
6021: Recebido 256 bytes de 192.168.0.43:48615, pacote nº 31, identificador: 65
